batch_size,co2_emissions_kg,emissions,emissions_rate,energy_consumed,model,power_consumption_kwh,precision,runtime_seconds,timestamp,tool
4,N/A,1.893333734655446e-07,N/A,N/A,logreg,N/A,fp32,0.037574052810668945,2025-11-30T17:09:37.031053,codecarbon
4,N/A,2.8192680452854717e-08,N/A,N/A,logreg,N/A,fp16,0.039205074310302734,2025-11-30T17:09:45.376783,codecarbon
16,N/A,2.954134023084542e-08,N/A,N/A,logreg,N/A,fp32,0.03947019577026367,2025-11-30T17:09:53.674179,codecarbon
16,N/A,2.8990597479406793e-08,N/A,N/A,logreg,N/A,fp16,0.03656601905822754,2025-11-30T17:10:01.916680,codecarbon
64,N/A,2.8262073151877327e-08,N/A,N/A,logreg,N/A,fp32,0.03665566444396973,2025-11-30T17:10:10.214604,codecarbon
64,N/A,2.8716233069144003e-08,N/A,N/A,logreg,N/A,fp16,0.03703713417053223,2025-11-30T17:10:18.509894,codecarbon
256,N/A,2.8303561725119014e-08,N/A,N/A,logreg,N/A,fp32,0.03632998466491699,2025-11-30T17:10:26.795245,codecarbon
256,N/A,3.036520007895754e-08,N/A,N/A,logreg,N/A,fp16,0.03831291198730469,2025-11-30T17:10:35.056789,codecarbon
4,2.2699802506298514e-08,N/A,N/A,N/A,logreg,5.4788092552371384e-08,fp32,0.03733015060424805,2025-11-30T17:10:38.179996,eco2ai
4,1.9571036037262275e-08,N/A,N/A,N/A,logreg,4.723652258462607e-08,fp16,0.03582286834716797,2025-11-30T17:10:41.256962,eco2ai
16,1.9999169611912655e-08,N/A,N/A,N/A,logreg,4.8269862936649586e-08,fp32,0.03641653060913086,2025-11-30T17:10:44.343117,eco2ai
16,2.058404176582156e-08,N/A,N/A,N/A,logreg,4.968150648248108e-08,fp16,0.0365147590637207,2025-11-30T17:10:47.439531,eco2ai
64,1.9121943355893985e-08,N/A,N/A,N/A,logreg,4.615259547184299e-08,fp32,0.03602290153503418,2025-11-30T17:10:50.534647,eco2ai
64,1.9569313793745643e-08,N/A,N/A,N/A,logreg,4.723236578911383e-08,fp16,0.03912997245788574,2025-11-30T17:10:53.647984,eco2ai
256,2.019256466580834e-08,N/A,N/A,N/A,logreg,4.873663995416185e-08,fp32,0.038588762283325195,2025-11-30T17:10:56.728423,eco2ai
256,2.0343696623842938e-08,N/A,N/A,N/A,logreg,4.9101411044224126e-08,fp16,0.036399126052856445,2025-11-30T17:10:59.819830,eco2ai
4,N/A,6.744150038991861e-06,N/A,N/A,forest,N/A,fp32,10.011080026626587,2025-11-30T17:11:18.148572,codecarbon
4,N/A,7.0097539291138474e-06,N/A,N/A,forest,N/A,fp16,10.028759956359863,2025-11-30T17:11:36.716033,codecarbon
16,N/A,6.384594995506852e-06,N/A,N/A,forest,N/A,fp32,10.074702978134155,2025-11-30T17:11:55.279477,codecarbon
16,N/A,6.405711275531864e-06,N/A,N/A,forest,N/A,fp16,10.099735975265503,2025-11-30T17:12:13.879259,codecarbon
64,N/A,6.977770259883509e-06,N/A,N/A,forest,N/A,fp32,10.245471954345703,2025-11-30T17:12:32.470607,codecarbon
64,N/A,6.474941441173893e-06,N/A,N/A,forest,N/A,fp16,10.204092264175415,2025-11-30T17:12:51.015955,codecarbon
256,N/A,6.611220125032619e-06,N/A,N/A,forest,N/A,fp32,10.214859008789062,2025-11-30T17:13:09.593550,codecarbon
256,N/A,7.17947321918336e-06,N/A,N/A,forest,N/A,fp16,10.336679935455322,2025-11-30T17:13:28.527694,codecarbon
4,2.941882969380524e-07,N/A,N/A,N/A,forest,7.10050919429553e-07,fp32,10.281324863433838,2025-11-30T17:13:43.928830,eco2ai
4,3.0202236997339773e-07,N/A,N/A,N/A,forest,7.289591860721127e-07,fp16,10.30358099937439,2025-11-30T17:13:59.126851,eco2ai
16,3.034714495792247e-07,N/A,N/A,N/A,forest,7.324566749836472e-07,fp32,10.30091381072998,2025-11-30T17:14:14.347437,eco2ai
16,2.9999910210274823e-07,N/A,N/A,N/A,forest,7.240758401784811e-07,fp16,10.269543886184692,2025-11-30T17:14:29.545526,eco2ai
64,2.955608946329535e-07,N/A,N/A,N/A,forest,7.133638121088857e-07,fp32,10.308125019073486,2025-11-30T17:14:44.717502,eco2ai
64,2.536448656194065e-07,N/A,N/A,N/A,forest,6.121955628968105e-07,fp16,10.428548812866211,2025-11-30T17:14:59.926669,eco2ai
256,2.9346897854936836e-07,N/A,N/A,N/A,forest,7.083147773444882e-07,fp32,10.323853969573975,2025-11-30T17:15:15.350022,eco2ai
256,2.978789470171166e-07,N/A,N/A,N/A,forest,7.189586479463134e-07,fp16,10.240194082260132,2025-11-30T17:15:30.751963,eco2ai
