batch_size,co2_emissions_kg,emissions,emissions_rate,energy_consumed,model,power_consumption_kwh,precision,runtime_seconds,timestamp,tool
4,N/A,2.981271122087686e-05,N/A,N/A,logreg,N/A,fp32,4.639317512512207,2025-11-30T23:47:37.263881,codecarbon
4,N/A,2.9435025075988373e-05,N/A,N/A,logreg,N/A,fp16,4.498003721237183,2025-11-30T23:47:44.650881,codecarbon
16,N/A,2.7084577507703483e-05,N/A,N/A,logreg,N/A,fp32,4.215255260467529,2025-11-30T23:47:51.656407,codecarbon
16,N/A,2.8232995934353725e-05,N/A,N/A,logreg,N/A,fp16,4.392752408981323,2025-11-30T23:47:58.851647,codecarbon
64,N/A,2.6908407289754874e-05,N/A,N/A,logreg,N/A,fp32,4.104795455932617,2025-11-30T23:48:05.828137,codecarbon
64,N/A,3.52272675255471e-05,N/A,N/A,logreg,N/A,fp16,5.486566066741943,2025-11-30T23:48:14.138596,codecarbon
256,N/A,2.956116382324012e-05,N/A,N/A,logreg,N/A,fp32,4.603455543518066,2025-11-30T23:48:21.543510,codecarbon
256,N/A,2.7481426141895558e-05,N/A,N/A,logreg,N/A,fp16,4.189936399459839,2025-11-30T23:48:28.555704,codecarbon
4,2.1116693971647218e-08,N/A,N/A,N/A,logreg,1.1693169041279816e-07,fp32,4.667733192443848,2025-11-30T23:48:36.318979,eco2ai
4,9.178504400098428e-06,N/A,N/A,N/A,logreg,5.082509773574632e-05,fp16,5.708567380905151,2025-11-30T23:48:45.021065,eco2ai
16,1.1571558982173469e-05,N/A,N/A,N/A,logreg,6.407641055525482e-05,fp32,4.520457029342651,2025-11-30T23:48:52.627912,eco2ai
16,4.840744529872773e-06,N/A,N/A,N/A,logreg,2.6805163795740475e-05,fp16,4.609361410140991,2025-11-30T23:49:00.219265,eco2ai
64,1.128205055060831e-05,N/A,N/A,N/A,logreg,6.247328506898671e-05,fp32,4.36327338218689,2025-11-30T23:49:07.612868,eco2ai
64,1.205921359307079e-05,N/A,N/A,N/A,logreg,6.677675171975629e-05,fp16,4.209049463272095,2025-11-30T23:49:14.829188,eco2ai
256,7.765884497315784e-06,N/A,N/A,N/A,logreg,4.300284898009737e-05,fp32,3.8334851264953613,2025-11-30T23:49:21.705459,eco2ai
256,8.483792618496804e-06,N/A,N/A,N/A,logreg,4.697819712330031e-05,fp16,4.333592653274536,2025-11-30T23:49:29.108720,eco2ai
4,N/A,0.00012043865742585905,N/A,N/A,forest,N/A,fp32,18.772259950637817,2025-11-30T23:49:50.623001,codecarbon
4,N/A,0.00012595825356585786,N/A,N/A,forest,N/A,fp16,19.632486581802368,2025-11-30T23:50:13.009123,codecarbon
16,N/A,0.00012113494345697667,N/A,N/A,forest,N/A,fp32,18.880820274353027,2025-11-30T23:50:34.645312,codecarbon
16,N/A,0.0001243201553197153,N/A,N/A,forest,N/A,fp16,19.377132654190063,2025-11-30T23:50:56.740826,codecarbon
64,N/A,0.00012386777845159526,N/A,N/A,forest,N/A,fp32,19.30678963661194,2025-11-30T23:51:18.778183,codecarbon
64,N/A,0.00012164284374663666,N/A,N/A,forest,N/A,fp16,18.959807872772217,2025-11-30T23:51:40.521949,codecarbon
256,N/A,0.00012027304147048267,N/A,N/A,forest,N/A,fp32,18.74605894088745,2025-11-30T23:52:02.006419,codecarbon
256,N/A,0.0001222900584013785,N/A,N/A,forest,N/A,fp16,19.060588121414185,2025-11-30T23:52:23.834043,codecarbon
4,1.0560503965553617e-05,N/A,N/A,N/A,forest,5.847778927711178e-05,fp32,18.68275237083435,2025-11-30T23:52:45.529906,eco2ai
4,1.056512918043994e-05,N/A,N/A,N/A,forest,5.850340096594462e-05,fp16,19.50079607963562,2025-11-30T23:53:07.979564,eco2ai
16,1.056565344506e-05,N/A,N/A,N/A,forest,5.850630403156321e-05,fp32,18.77177357673645,2025-11-30T23:53:29.778685,eco2ai
16,1.0560863610111264e-05,N/A,N/A,N/A,forest,5.8479780774745354e-05,fp16,18.825629949569702,2025-11-30T23:53:51.641139,eco2ai
64,1.0562261365965413e-05,N/A,N/A,N/A,forest,5.848752071524123e-05,fp32,19.067293405532837,2025-11-30T23:54:13.679809,eco2ai
64,1.1264048348420822e-05,N/A,N/A,N/A,forest,6.237359958148747e-05,fp16,19.474650621414185,2025-11-30T23:54:36.179801,eco2ai
256,1.056144013082577e-05,N/A,N/A,N/A,forest,5.848297320353159e-05,fp32,18.921929121017456,2025-11-30T23:54:58.125928,eco2ai
256,9.86066947468563e-06,N/A,N/A,N/A,forest,5.4602522147879896e-05,fp16,18.79108214378357,2025-11-30T23:55:19.933332,eco2ai
